,importance
FP,0.045693378895521164
Age,0.024548541754484177
PTS,0.023682134225964546
Min,0.015712175518274307
3PM_per_gp,0.00802746694535017
+/-,0.006339111365377903
FTA,0.006302543915808201
AST,0.005717317573726177
PTS_per_gp,0.005563137587159872
PTS_per_min,0.005473340395838022
TS%_calc,0.005123592913150787
TOV,0.004961537662893534
3PA_per_min,0.004935423843562603
REB,0.004647315479815006
REB_per_gp,0.0044224862940609455
DD2,0.004232138395309448
log1p_AST_per_min,0.003853167872875929
TOV_per_gp,0.0038216281682252884
OREB,0.0038042673841118813
log1p_DREB,0.0036957724951207638
FTM_per_gp,0.0035268492065370083
DREB_share,0.003416616003960371
FT%,0.0033729616552591324
GP,0.003298522438853979
W,0.0032583021093159914
DREB_per_min,0.0032135816290974617
AST_per_gp,0.0031523462384939194
log1p_3PM,0.0031416150741279125
PF_per_min,0.003040321869775653
STL_per_gp,0.003027666360139847
FTM_per_min,0.0030051746871322393
TOV_per_min,0.0029521360993385315
BLK_per_gp,0.002917538397014141
3P%,0.0028217423241585493
FG%,0.0026128266472369432
FGA_per_min,0.0025627529248595238
STL,0.002479598857462406
OREB_per_min,0.0024574510753154755
BLK,0.0024528794456273317
log1p_PF,0.002433992922306061
