,importance
FP,757546935648256.0
PTS,492856087150592.0
Age,428362321362944.0
Min,182752703938560.0
3PM_per_gp,144331100913664.0
PTS_per_gp,124014857027584.0
AST,116584815263744.0
REB_per_gp,114014185062400.0
FTA,109041527291904.0
DD2,94985248571392.0
3PA_per_min,91507793068032.0
+/-,84586604265472.0
TS%_calc,79818695639040.0
PTS_per_min,76027153874944.0
TOV_per_gp,73701051596800.0
log1p_AST_per_min,70955359535104.0
DREB_share,69490838601728.0
AST_per_gp,69060444291072.0
REB,68483526164480.0
TOV,66335803441152.0
FTM_per_gp,65328478420992.0
log1p_3PM,60008414838784.0
PF_per_min,56658390679552.0
BLK_per_gp,55400363720704.0
W,55360186482688.0
FGA_per_min,54812364242944.0
OREB,54089480142848.0
FT%,54055439171584.0
DREB_per_min,53699233710080.0
FTM_per_min,53207405428736.0
3P%,52269542277120.0
GP,49058731261952.0
TOV_per_min,47693799882752.0
log1p_DREB,45635893985280.0
STL,45285698961408.0
STL_per_gp,43506617810944.0
log1p_PF,41734604062720.0
OREB_per_min,41663804211200.0
BLK,40341918973952.0
FG%,35720584495104.0
