,importance
FP,0.05020734667778015
PTS,0.03257168456912041
Age,0.025295184925198555
Min,0.011166994459927082
3PM_per_gp,0.009941398166120052
PTS_per_gp,0.007911781780421734
AST,0.006409694906324148
+/-,0.006182167213410139
FTA,0.0061627039685845375
REB_per_gp,0.006151575595140457
3PA_per_min,0.005834854207932949
TS%_calc,0.00528165977448225
PTS_per_min,0.004931964911520481
DD2,0.004840905778110027
log1p_AST_per_min,0.004771044943481684
DREB_share,0.004743488039821386
AST_per_gp,0.004420742392539978
TOV_per_gp,0.0043837809935212135
REB,0.004273774102330208
TOV,0.004258706700056791
W,0.004038186743855476
log1p_3PM,0.0037215580232441425
FT%,0.0035490209702402353
FTM_per_min,0.003453101497143507
DREB_per_min,0.0033790275920182467
FTM_per_gp,0.003354281885549426
3P%,0.0033329627476632595
BLK_per_gp,0.003267944324761629
GP,0.003251077840104699
PF_per_min,0.0032484950497746468
OREB,0.003184318309649825
FGA_per_min,0.0031466712243855
TOV_per_min,0.0031316231470555067
BLK,0.0026932447217404842
log1p_DREB,0.002688908949494362
STL,0.0026731404941529036
STL_per_gp,0.002600062405690551
log1p_PF,0.0024861223064363003
OREB_per_min,0.0024199211038649082
FG%,0.002318974118679762
