,importance
FP,507594602971136.0
PTS,332427012603904.0
Age,294997949677568.0
Min,122300082946048.0
3PM_per_gp,72572045623296.0
AST,72200749056000.0
+/-,62092040208384.0
TS%_calc,62029062733824.0
PTS_per_gp,59814570885120.0
REB,56840121483264.0
PTS_per_min,56213358247936.0
FTM_per_min,53947674918912.0
FTA,52004827168768.0
DD2,50412061196288.0
FT%,46920336670720.0
3PA_per_min,44470372401152.0
DREB_share,44396103860224.0
log1p_AST_per_min,43973599035392.0
REB_per_gp,43213712785408.0
BLK_per_gp,41429581692928.0
OREB,41413358125056.0
TOV,40926256824320.0
TOV_per_min,40627421052928.0
AST_per_gp,40481287307264.0
FG%,40160112672768.0
W,39774257676288.0
log1p_3PM,39316466171904.0
TOV_per_gp,38377537667072.0
OREB_per_min,35489818083328.0
FTM_per_gp,33842723291136.0
PF_per_min,32915146670080.0
BLK,32701975363584.0
log1p_DREB,32420061511680.0
3P%,30531999760384.0
STL_per_gp,30379291443200.0
DREB_per_min,30019963322368.0
STL,29464765399040.0
log1p_PF,28918757195776.0
FGA_per_min,28517240668160.0
GP,24704056295424.0
