feature,corr_with_salary
FP,0.7262057813725029
PTS,0.7224647915211398
FGM,0.7133897188718384
FGA,0.692321645721997
FTM,0.6628230910077542
FTA,0.6477171497478703
Min,0.64167136618858
TOV,0.6233165971334185
AST,0.5873953431693506
DREB,0.5244058645840678
DD2,0.45938462796066853
STL,0.45693034941733884
3PM,0.4563877487328725
3PA,0.4554681713672928
REB,0.4495050010763374
PF,0.3392106237728383
Age,0.33406251513702223
+/-,0.33217950479828523
TD3,0.28720880168648355
W,0.2496483900947268
BLK,0.23114447880798264
FT%,0.2251826367361167
GP,0.18350328610487945
OREB,0.16875299263424678
season,0.11565881394419254
FG%,0.0994274751665362
3P%,0.09801877600416793
L,-0.008633529707695271
Player_id,-0.5290256417170416
