,importance
FP,49.45265579223633
log1p_PTS,43.32801818847656
Min,18.931161880493164
PTS,17.82170295715332
log1p_FGA,10.499080657958984
log1p_DREB,7.9531636238098145
FGM,6.490002155303955
log1p_Min,5.056288242340088
log1p_3PM,4.805992603302002
log1p_3PA,4.457555294036865
Age,4.273227214813232
FTA_per_min,4.227375030517578
log1p_PF,4.208944320678711
PTS_per_gp,4.005794048309326
FGM_per_gp,3.7895634174346924
TOV,3.123809814453125
DREB_share,3.114339590072632
FGA_per_min,3.0772414207458496
FTM_per_gp,3.0754544734954834
log1p_FGM,2.9865617752075195
log1p_PTS_per_min,2.9445669651031494
3P%,2.9042909145355225
3PM_per_gp,2.806586265563965
STL_per_gp,2.6862294673919678
REB_per_gp,2.681213855743408
OREB_per_gp,2.6593384742736816
DREB_per_min,2.595430612564087
AST,2.563981294631958
3PA_per_gp,2.524604320526123
FTA_per_gp,2.5067832469940186
FT%,2.4907829761505127
AST_per_gp,2.483905792236328
BLK_per_gp,2.473994255065918
log1p_REB_per_min,2.471122980117798
FGA_per_gp,2.469809055328369
3PM,2.4326095581054688
PF_per_gp,2.429399251937866
DREB,2.4261646270751953
TOV_per_gp,2.4251203536987305
BLK_per_min,2.420421600341797
FTM_per_min,2.4009993076324463
AST_per_min,2.3885409832000732
log1p_TOV,2.3345303535461426
STL,2.3227226734161377
TOV_per_min,2.3119325637817383
DD2,2.2697348594665527
OREB_per_min,2.231081485748291
REB,2.213254690170288
log1p_REB,2.198809862136841
3PM_per_min,2.129626512527466
FGA,2.1251044273376465
AST_TO_ratio,2.105461835861206
PF_per_min,2.0895028114318848
PTS_per_min,2.08488392829895
REB_per_min,2.0692219734191895
TS%_calc,2.0398359298706055
DREB_per_gp,2.03216814994812
FGM_per_min,2.0317413806915283
log1p_FTM,2.0270984172821045
log1p_AST,2.0228569507598877
OREB_share,1.9895352125167847
+/-,1.9577200412750244
log1p_FTA,1.9121942520141602
W,1.8306303024291992
eFG%_calc,1.8269597291946411
log1p_TOV_per_min,1.7903469800949097
3PA_per_min,1.7871485948562622
FTM,1.7338066101074219
STL_per_min,1.6520960330963135
BLK,1.6130627393722534
L,1.491079568862915
OREB,1.396334171295166
FTA,1.3867093324661255
GP,1.3816677331924438
FG%,1.3586348295211792
3PA,1.3317101001739502
PF,1.221940040588379
log1p_STL,1.1732571125030518
log1p_AST_per_min,0.9041538238525391
log1p_BLK,0.8163242936134338
TD3,0.08252322673797607
log1p_OREB,0.0
