,importance
log1p_PTS,0.6013631224632263
FP,0.15519171953201294
PTS,0.06201237067580223
log1p_Min,0.04140124469995499
Min,0.023470943793654442
Age,0.018230434507131577
FTM,0.016855133697390556
FGM,0.013189413584768772
FTA,0.01049413438886404
TOV,0.009896703064441681
log1p_3PA,0.00921874400228262
AST,0.007906857877969742
FGM_per_gp,0.007890379056334496
log1p_FGM,0.007648301310837269
L,0.007111347746104002
log1p_3PM,0.007096985820680857
FTM_per_gp,0.006280545610934496
PTS_per_gp,0.0061678835190832615
3PA,0.006071050185710192
log1p_DREB,0.006048970390111208
3PM,0.0055623287335038185
3PM_per_gp,0.005558903329074383
STL,0.005196701269596815
PTS_per_min,0.005143124144524336
FGA,0.005106699652969837
DD2,0.005092887673527002
TS%_calc,0.005054531618952751
FGA_per_gp,0.005023878999054432
FTA_per_gp,0.004980313591659069
+/-,0.004968986846506596
FTM_per_min,0.004922021646052599
log1p_AST_per_min,0.004816183354705572
FGM_per_min,0.004634275566786528
log1p_FGA,0.004546553362160921
FGA_per_min,0.004477789159864187
eFG%_calc,0.004440212622284889
AST_per_min,0.004334141034632921
FTA_per_min,0.004323193337768316
3PM_per_min,0.004249343648552895
DREB_per_gp,0.00424546655267477
BLK_per_gp,0.00424374220892787
REB_per_min,0.003969799727201462
REB,0.003918271977454424
FT%,0.00381243578158319
DREB_share,0.003790137590840459
PF_per_min,0.003636659123003483
log1p_AST,0.003599760588258505
OREB_per_gp,0.0035253737587481737
OREB_share,0.003521824488416314
BLK_per_min,0.0035167071036994457
log1p_REB_per_min,0.003493462922051549
AST_per_gp,0.0034603362437337637
STL_per_gp,0.0034553287550807
AST_TO_ratio,0.0034518453758209944
TOV_per_min,0.003432356985285878
log1p_TOV_per_min,0.0034302473068237305
DREB_per_min,0.0034110683482140303
PF,0.0033446557354182005
DREB,0.0032471921294927597
3PA_per_min,0.003128361189737916
PF_per_gp,0.0030004088766872883
3P%,0.0028851123061031103
TOV_per_gp,0.002827069954946637
REB_per_gp,0.0028141362126916647
STL_per_min,0.0027960375882685184
3PA_per_gp,0.0027413524221628904
OREB,0.002612646436318755
log1p_FTA,0.0025331219658255577
log1p_TOV,0.0024706439580768347
BLK,0.002449044492095709
log1p_STL,0.0023461251985281706
TD3,0.002201813505962491
OREB_per_min,0.002089916495606303
log1p_OREB,0.001932694111019373
FG%,0.001898773480206728
W,0.0018712264718487859
log1p_REB,0.0018249499844387174
log1p_PTS_per_min,0.0018080100417137146
log1p_PF,0.0014949000906199217
log1p_BLK,0.0014788772678002715
GP,0.0012690286384895444
log1p_FTM,0.0006474513211287558
