,importance
log1p_PTS,1.3425491167936512e+16
FP,2631731278512128.0
PTS,1513640024866816.0
log1p_FTA,417826129051648.0
Min,394939624062976.0
log1p_Min,364639367987200.0
Age,335867516289024.0
TOV,222772169015296.0
log1p_3PM,172329506177024.0
FTA,113582800896000.0
L,111267553476608.0
FGA,109864659451904.0
FGM_per_gp,109415306887168.0
AST_per_gp,109387129552896.0
3PM_per_min,108607500713984.0
FTM_per_gp,108017345363968.0
STL,106878541496320.0
AST,106507865686016.0
FTM,104491286265856.0
log1p_AST,95232511180800.0
PTS_per_gp,94334024155136.0
TS%_calc,93672741797888.0
FGM,92778600071168.0
3PM,91896219172864.0
FTM_per_min,89406102831104.0
DD2,86773254324224.0
REB,83422944952320.0
+/-,81285536022528.0
log1p_3PA,77622063136768.0
AST_per_min,76727803969536.0
log1p_FGA,75088401530880.0
PF_per_min,73037126828032.0
3PA,72568371412992.0
FGM_per_min,69607234732032.0
OREB_per_gp,67502302298112.0
3PA_per_gp,67118192132096.0
PTS_per_min,66527063703552.0
FGA_per_gp,64937208578048.0
DREB_per_gp,63911554449408.0
DREB_share,63770378371072.0
BLK_per_gp,63577029345280.0
AST_TO_ratio,63383722262528.0
log1p_TOV,58435634724864.0
log1p_REB_per_min,57619133759488.0
OREB_per_min,56227400777728.0
REB_per_min,55420668346368.0
DREB,54722371256320.0
TOV_per_gp,54080420446208.0
FTA_per_gp,51880868708352.0
REB_per_gp,51619064446976.0
FT%,51052338479104.0
FGA_per_min,50458739605504.0
3PA_per_min,49564417523712.0
TD3,49524328366080.0
log1p_TOV_per_min,49232115400704.0
OREB_share,48130938634240.0
log1p_FTM,47772216590336.0
eFG%_calc,47668491452416.0
PF,46082650275840.0
log1p_PF,45788633759744.0
DREB_per_min,45788457598976.0
FG%,43634057543680.0
3PM_per_gp,43492751441920.0
STL_per_gp,43415882432512.0
3P%,42379125981184.0
BLK_per_min,42174292951040.0
STL_per_min,39667810435072.0
TOV_per_min,39018783834112.0
FTA_per_min,35636530642944.0
W,35007116607488.0
BLK,34285052493824.0
OREB,33792496500736.0
log1p_PTS_per_min,30248596930560.0
PF_per_gp,28991847137280.0
GP,28800282787840.0
log1p_OREB,27571368493056.0
log1p_STL,26145093320704.0
log1p_REB,20509240590336.0
log1p_FGM,18410721247232.0
log1p_AST_per_min,13709988593664.0
log1p_BLK,12215226728448.0
log1p_DREB,7780398792704.0
