,importance
log1p_PTS,0.4322831332683563
FP,0.0967157781124115
PTS,0.0513879656791687
log1p_Min,0.013189872726798058
Min,0.012246668338775635
Age,0.011720028705894947
log1p_FTA,0.007292578462511301
TOV,0.007148857694119215
log1p_3PM,0.004950803704559803
FTM,0.0037804492749273777
FTA,0.0037225314881652594
FGM_per_gp,0.003707870375365019
FGA,0.003661730559542775
TD3,0.0036305529065430164
L,0.003451279364526272
AST,0.0033796171192079782
PTS_per_gp,0.003295276779681444
FTM_per_gp,0.0030799428932368755
FGM,0.003044724464416504
STL,0.00300583872012794
3PM,0.0027910955250263214
AST_per_gp,0.0027719794306904078
DD2,0.0026782392524182796
log1p_3PA,0.002607992384582758
3PM_per_min,0.002524422015994787
FTM_per_min,0.0025072935968637466
REB,0.002466537756845355
+/-,0.002433258341625333
3PA,0.0024239644408226013
TS%_calc,0.0023574507795274258
PF_per_min,0.0023182875011116266
BLK_per_gp,0.00219212775118649
log1p_FGA,0.002101724501699209
log1p_FTM,0.0020881022792309523
AST_per_min,0.002068480011075735
OREB_per_gp,0.00206551980227232
log1p_REB_per_min,0.0020602215081453323
PTS_per_min,0.0020554845687001944
AST_TO_ratio,0.001927281846292317
log1p_TOV_per_min,0.0018185731023550034
3PA_per_gp,0.0017752913990989327
REB_per_min,0.001736087491735816
DREB,0.001734142075292766
DREB_share,0.001684881281107664
DREB_per_gp,0.0016562161035835743
FGA_per_gp,0.0016512576257809997
log1p_AST,0.001630354207009077
FGM_per_min,0.0016068536788225174
FGA_per_min,0.0016042619245126843
PF,0.00158756785094738
OREB_per_min,0.0015856102108955383
eFG%_calc,0.001580067677423358
3PA_per_min,0.0015509950462728739
log1p_TOV,0.0015429712366312742
3PM_per_gp,0.001439706888049841
TOV_per_gp,0.0014210636727511883
FT%,0.0014207310741767287
DREB_per_min,0.0013564926339313388
FTA_per_gp,0.0013511142460629344
OREB_share,0.0013081368524581194
FG%,0.0013051023706793785
BLK,0.001268150401301682
REB_per_gp,0.0012370471376925707
BLK_per_min,0.0012274285545572639
log1p_FGM,0.0012011107755824924
log1p_PF,0.0011962074786424637
TOV_per_min,0.0011934718349948525
FTA_per_min,0.0011324124643579125
W,0.0011315445881336927
log1p_PTS_per_min,0.0011314277071505785
OREB,0.0011268872767686844
3P%,0.0011234909761697054
STL_per_min,0.0011230172822251916
STL_per_gp,0.0010992430616170168
GP,0.0009697519126348197
log1p_STL,0.0008202155004255474
log1p_OREB,0.0007079191273078322
PF_per_gp,0.0006989543326199055
log1p_REB,0.0006903553148731589
log1p_BLK,0.00040231156162917614
log1p_AST_per_min,0.0002334189775865525
log1p_DREB,0.0001556839852128178
