,importance
FP,0.23089250922203064
PTS,0.07475489377975464
log1p_PTS,0.03467695415019989
Age,0.021379536017775536
Min,0.012933715246617794
FTA,0.011407203041017056
TOV,0.011073349975049496
log1p_Min,0.00939632672816515
PTS_per_gp,0.008709321729838848
log1p_FTM,0.008497223258018494
log1p_PF,0.007804614491760731
FGM_per_gp,0.007726471405476332
log1p_3PM,0.007141492795199156
PTS_per_min,0.006592217832803726
OREB_per_min,0.006434747017920017
FTM,0.0063431402668356895
DD2,0.006138448137789965
FGA,0.005988698918372393
AST_per_gp,0.00561538664624095
TS%_calc,0.00550175691023469
3PM,0.005404427647590637
STL_per_gp,0.00535891717299819
AST,0.005238225217908621
3PM_per_gp,0.005230849143117666
log1p_DREB,0.005201016552746296
FT%,0.005176783539354801
3PA,0.005133510567247868
FTM_per_gp,0.005074417684227228
FGM_per_min,0.005060172639787197
PF_per_min,0.004928534384816885
eFG%_calc,0.004881438799202442
REB_per_gp,0.004831748083233833
log1p_3PA,0.0046509550884366035
TOV_per_gp,0.004629358183592558
FGA_per_gp,0.004436584655195475
+/-,0.004390012938529253
FGM,0.004348999820649624
DREB_per_gp,0.004285708535462618
DREB_per_min,0.004264879506081343
3PA_per_min,0.004259428940713406
FTA_per_gp,0.004141712561249733
BLK_per_gp,0.003980465233325958
log1p_FTA,0.003976679872721434
3P%,0.003926639445126057
log1p_FGM,0.0038126143626868725
STL,0.0037647688295692205
FTM_per_min,0.0037480900064110756
DREB_share,0.0036620337050408125
DREB,0.0035310066305100918
OREB_share,0.003506612265482545
3PM_per_min,0.0034647206775844097
log1p_AST,0.0034218865912407637
log1p_AST_per_min,0.003310629166662693
AST_per_min,0.0032815022859722376
log1p_TOV,0.0032547141890972853
log1p_PTS_per_min,0.003208582056686282
REB,0.0032019265927374363
3PA_per_gp,0.0031476335134357214
TOV_per_min,0.0030646082013845444
OREB,0.0029800080228596926
log1p_OREB,0.0028794396203011274
BLK,0.0028135301545262337
log1p_STL,0.0026734527200460434
FGA_per_min,0.0026059297379106283
log1p_BLK,0.002512292005121708
FTA_per_min,0.0024776861537247896
PF,0.002325573703274131
FG%,0.0021978451404720545
W,0.002115103881806135
GP,0.0019510284764692187
log1p_FGA,0.0018056879052892327
log1p_TOV_per_min,0.0017843885580077767
TD3,0.0011184908216819167
log1p_REB,0.0010490301065146923
