,importance
log1p_PTS,6614144946012160.0
FP,2945882634846208.0
PTS,991133161226240.0
Min,385606593019904.0
log1p_Min,305846902849536.0
log1p_FTM,300010142957568.0
Age,295764735557632.0
FTM,254010640564224.0
PTS_per_min,160162232926208.0
FGM,140167876706304.0
AST,117678488420352.0
PTS_per_gp,110047883427840.0
3PA,102663920287744.0
FTA,101170848727040.0
DD2,100443506081792.0
FTA_per_gp,97336525062144.0
log1p_REB_per_min,96415825002496.0
STL,93112324063232.0
PF_per_min,92219650342912.0
log1p_3PA,92212788461568.0
FGA,88528855760896.0
FGA_per_gp,85212520251392.0
log1p_AST,83830530637824.0
3PM,83629413761024.0
REB_per_gp,82599426916352.0
FGM_per_gp,82076539813888.0
log1p_PTS_per_min,80509690445824.0
REB,79236467523584.0
TS%_calc,79020074991616.0
L,78649474678784.0
AST_per_gp,78281827155968.0
log1p_TOV_per_min,76844128796672.0
TD3,74416364978176.0
3PA_per_gp,73213765746688.0
OREB_per_gp,71864844025856.0
FTA_per_min,71418964344832.0
DREB_share,70573585596416.0
+/-,69577681666048.0
FTM_per_gp,69566688395264.0
log1p_FGM,68709125193728.0
DREB_per_gp,68428845023232.0
log1p_BLK,66933462401024.0
DREB_per_min,66826633478144.0
AST_per_min,66678620684288.0
eFG%_calc,66264529633280.0
FT%,63669169815552.0
FGA_per_min,63071087230976.0
log1p_3PM,60044360024064.0
3PM_per_min,59887824404480.0
STL_per_gp,56530569265152.0
BLK_per_min,56384389382144.0
TOV_per_min,56138674470912.0
OREB_share,55404524470272.0
DREB,53086001299456.0
log1p_AST_per_min,52266195222528.0
3PM_per_gp,52018903252992.0
3PA_per_min,51590564151296.0
STL_per_min,50291814694912.0
FTM_per_min,48219367145472.0
REB_per_min,47888042295296.0
FGM_per_min,47853250543616.0
FG%,47793443962880.0
W,46703549874176.0
OREB,46673531240448.0
BLK,44284115943424.0
TOV,43331056828416.0
BLK_per_gp,42511896674304.0
3P%,40031569838080.0
OREB_per_min,39431285243904.0
TOV_per_gp,35773151707136.0
log1p_REB,34605132414976.0
PF_per_gp,34073221267456.0
AST_TO_ratio,33493513928704.0
PF,31087340290048.0
log1p_OREB,28719924117504.0
log1p_STL,26523736211456.0
GP,19567283798016.0
log1p_TOV,16399549333504.0
log1p_PF,15359929221120.0
log1p_FTA,11073411350528.0
log1p_DREB,10668033966080.0
log1p_FGA,10619635892224.0
