feature,corr_with_salary_usd,corr_with_log_salary,corr_with_salary_cap_ratio,corr_with_log_salary_cap_ratio,corr_with_salary_cap_equiv
+/-,0.33217950479828523,0.2781165019032497,0.33926576874422926,0.338578916075015,0.33926576874422903
3P%,0.09801877600416793,0.12109598621948599,0.09823603203920583,0.09955451108851629,0.09823603203920583
3PA,0.4554681713672928,0.44389768778996275,0.4583315984148337,0.46242516018437974,0.4583315984148335
3PA_per_gp,0.3115650638534569,0.27381135940831597,0.32007138831444293,0.32124275553936227,0.32007138831444276
3PA_per_min,0.16549782216428055,0.16500787633651193,0.1650601887119807,0.16609614629819663,0.16506018871198078
3PM,0.4563877487328725,0.44027980144075646,0.45894127135671214,0.4627134723267004,0.45894127135671187
3PM_per_gp,0.3354293304292289,0.29565453740006936,0.34412437620967956,0.3453670301621662,0.3441243762096796
3PM_per_min,0.19411628092990357,0.19189807638201423,0.19383239101329966,0.19512037047859923,0.19383239101329955
AST,0.5873953431693506,0.5126953627101697,0.5927363619407413,0.592299718795634,0.5927363619407411
AST_TO_ratio,0.07641407431779038,0.0649982839447996,0.07306232622063089,0.072995855142462,0.07306232622063086
AST_per_gp,0.42858450959568656,0.33526845725892285,0.4366288440221593,0.43446673223880405,0.4366288440221592
AST_per_min,0.3854569274884875,0.31424946381335306,0.3875443631974118,0.38496454170391753,0.38754436319741176
Age,0.33406251513702223,0.2634121316847209,0.33587010048089455,0.3361426035218448,0.33587010048089444
BLK,0.23114447880798264,0.244817862150551,0.23230902300308773,0.23593755240105155,0.2323090230030876
BLK_per_gp,0.12322736554291111,0.09856874357762377,0.12766497081955339,0.12859533682781604,0.1276649708195533
BLK_per_min,-0.03209495388081316,-0.029718585422437285,-0.0337641633225507,-0.033781584881569175,-0.0337641633225507
DD2,0.45938462796066853,0.393821992285396,0.4611017752303901,0.46037909577904373,0.46110177523039
DREB,0.5244058645840678,0.49669493541399307,0.5350616562106563,0.538213126590324,0.5350616562106562
DREB_per_gp,0.3168106490019791,0.23897686106779836,0.32929344903539887,0.32856698173096577,0.32929344903539903
DREB_per_min,0.11998075032708479,0.08030121816418667,0.1266579900074691,0.12473737601556813,0.12665799000746897
DREB_share,0.23581808593939377,0.22386383046432182,0.24886130797715397,0.24962202296037414,0.24886130797715397
FG%,0.0994274751665362,0.083266746190779,0.09644049655624436,0.09622505885014787,0.0964404965562443
FGA,0.692321645721997,0.6347406925651173,0.6995274235521349,0.7026240367447547,0.6995274235521348
FGA_per_gp,0.4519709231769634,0.3686820893227761,0.4634130517851781,0.46317879088807073,0.463413051785178
FGA_per_min,0.5167072483681205,0.4353471807854055,0.5218586724282909,0.5210629339997308,0.5218586724282906
FGM,0.7133897188718384,0.6460813215415518,0.7191734014553374,0.7215286636354512,0.7191734014553368
FGM_per_gp,0.4872425925367346,0.3957963286978761,0.4979025365404947,0.4972667608980454,0.4979025365404945
FGM_per_min,0.554263172189521,0.4622282014899565,0.5572688146664309,0.5559565227368112,0.557268814666431
FP,0.7262057813725029,0.6651956846867961,0.7326206309225987,0.7353934869580024,0.7326206309225983
FT%,0.2251826367361167,0.22429049178800076,0.22796044970951468,0.22970595273681443,0.22796044970951473
FTA,0.6477171497478703,0.5431448536823391,0.6545794925974595,0.6527702981717585,0.6545794925974596
FTA_per_gp,0.49610433612862864,0.37403482599239635,0.5051711627739698,0.5014515416824159,0.5051711627739698
FTA_per_min,0.47268955162383036,0.35113402490380174,0.4777329003966834,0.4734294551434743,0.4777329003966837
FTM,0.6628230910077542,0.5536981316546101,0.6695662158409648,0.6673972399918819,0.6695662158409645
FTM_per_gp,0.5201135312207343,0.398375648791208,0.5292419581295935,0.5253184101313125,0.5292419581295934
FTM_per_min,0.5227425629806504,0.4021679889741127,0.5280688412696692,0.5239134735302279,0.5280688412696691
GP,0.18350328610487945,0.288646875559673,0.17362402674004995,0.18093960330657963,0.17362402674004998
L,-0.008633529707695271,0.0968564453538061,-0.01752870983441558,-0.01147743739370452,-0.01752870983441555
Min,0.64167136618858,0.6543726743966383,0.648740066744984,0.6572369820580479,0.6487400667449837
