feature,corr_with_salary_usd,corr_with_log_salary,corr_with_salary_cap_ratio,corr_with_log_salary_cap_ratio,corr_with_salary_cap_equiv
+/-,0.33217950479828523,0.27811650190324977,0.3392657687442293,0.3385789160750151,0.3392657687442294
3P%,0.09801877600416793,0.12109598621948604,0.09823603203920588,0.09955451108851629,0.09823603203920588
3PA,0.45546817136729295,0.44389768778996314,0.4583315984148337,0.4624251601843796,0.4583315984148336
3PA_per_gp,0.3115650638534569,0.2738113594083162,0.3200713883144429,0.3212427555393623,0.320071388314443
3PA_per_min,0.16549782216428052,0.16500787633651195,0.16506018871198078,0.1660961462981966,0.16506018871198072
3PM,0.45638774873287247,0.44027980144075657,0.458941271356712,0.4627134723267004,0.4589412713567119
3PM_per_gp,0.3354293304292289,0.2956545374000695,0.3441243762096797,0.3453670301621661,0.34412437620967956
3PM_per_min,0.1941162809299036,0.19189807638201434,0.1938323910132996,0.19512037047859923,0.19383239101329958
AST,0.5873953431693507,0.51269536271017,0.5927363619407415,0.5922997187956341,0.5927363619407414
AST_TO_ratio,0.07641407431779043,0.06499828394479962,0.07306232622063091,0.072995855142462,0.07306232622063084
AST_per_gp,0.42858450959568634,0.3352684572589231,0.43662884402215923,0.434466732238804,0.43662884402215923
AST_per_min,0.38545692748848764,0.31424946381335317,0.38754436319741176,0.38496454170391764,0.3875443631974117
Age,0.3340625151370223,0.263412131684721,0.3358701004808945,0.3361426035218449,0.33587010048089455
BLK,0.2311444788079826,0.24481786215055112,0.23230902300308778,0.23593755240105163,0.23230902300308773
BLK_per_gp,0.12322736554291114,0.09856874357762384,0.12766497081955339,0.128595336827816,0.12766497081955336
BLK_per_min,-0.032094953880813154,-0.029718585422437292,-0.03376416332255071,-0.03378158488156916,-0.033764163322550715
DD2,0.45938462796066853,0.3938219922853962,0.46110177523039025,0.460379095779044,0.46110177523039003
DREB,0.5244058645840679,0.4966949354139933,0.5350616562106565,0.538213126590324,0.5350616562106563
DREB_per_gp,0.31681064900197903,0.2389768610677984,0.32929344903539887,0.32856698173096577,0.32929344903539903
DREB_per_min,0.1199807503270848,0.08030121816418671,0.12665799000746905,0.12473737601556809,0.12665799000746905
DREB_share,0.2358180859393938,0.22386383046432193,0.24886130797715394,0.24962202296037417,0.24886130797715397
FG%,0.09942747516653622,0.08326674619077903,0.09644049655624434,0.09622505885014784,0.09644049655624434
FGA,0.6923216457219972,0.6347406925651174,0.6995274235521348,0.7026240367447545,0.6995274235521346
FGA_per_gp,0.45197092317696325,0.36868208932277624,0.46341305178517794,0.4631787908880706,0.463413051785178
FGA_per_min,0.5167072483681205,0.43534718078540563,0.5218586724282909,0.5210629339997308,0.5218586724282908
FGM,0.7133897188718384,0.6460813215415521,0.7191734014553374,0.7215286636354513,0.719173401455337
FGM_per_gp,0.48724259253673446,0.3957963286978762,0.49790253654049466,0.4972667608980456,0.4979025365404946
FGM_per_min,0.5542631721895209,0.46222820148995664,0.5572688146664307,0.5559565227368112,0.5572688146664307
FP,0.7262057813725028,0.6651956846867966,0.7326206309225988,0.7353934869580026,0.7326206309225984
FT%,0.22518263673611674,0.2242904917880008,0.22796044970951468,0.22970595273681443,0.22796044970951473
FTA,0.6477171497478699,0.5431448536823391,0.6545794925974591,0.652770298171758,0.6545794925974595
FTA_per_gp,0.49610433612862853,0.3740348259923965,0.5051711627739696,0.5014515416824159,0.5051711627739698
FTA_per_min,0.47268955162383036,0.35113402490380197,0.4777329003966836,0.47342945514347423,0.4777329003966836
FTM,0.6628230910077542,0.5536981316546103,0.6695662158409649,0.6673972399918817,0.6695662158409648
FTM_per_gp,0.5201135312207344,0.3983756487912083,0.5292419581295936,0.5253184101313126,0.5292419581295935
FTM_per_min,0.5227425629806504,0.4021679889741129,0.5280688412696694,0.5239134735302279,0.5280688412696694
GP,0.18350328610487945,0.28864687555967306,0.17362402674004995,0.18093960330657965,0.17362402674005004
L,-0.008633529707695268,0.09685644535380612,-0.017528709834415585,-0.011477437393704496,-0.017528709834415554
Min,0.6416713661885801,0.6543726743966385,0.6487400667449841,0.6572369820580479,0.6487400667449835
OREB,0.16875299263424684,0.19099613596172146,0.1647265371917967,0.16883395120966713,0.16472653719179667
OREB_per_gp,0.051612147246038284,0.018947028300156318,0.04951801893034609,0.05030752881376262,0.04951801893034608
OREB_per_min,-0.12047559684783554,-0.12626984853508744,-0.1268016631842339,-0.12761400809638815,-0.12680166318423386
OREB_share,-0.23474551291083548,-0.22286722755244548,-0.24816062319200213,-0.2488373884213497,-0.24816062319200208
PF,0.3392106237728384,0.3788969506793402,0.3478832676301711,0.35604568625277727,0.3478832676301711
PF_per_gp,0.06645975580881532,0.02240778353851399,0.07437146436969813,0.07523735805618857,0.07437146436969817
PF_per_min,-0.30806812247137083,-0.325983627773515,-0.30741677872370154,-0.3104285912062346,-0.30741677872370154
