R2,MAE,RMSE,model,setting,seed,n_train,n_test,p,train_players,test_players,overlap_ratio_test,cold_start_ratio,n_cold_test,cold_test_players,emb_source
0.5809424133007919,0.5831611445405359,0.7520475216410444,RandomForest,Baseline | L0' + time,0,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.579364442608286,0.586079732710561,0.7534621170806399,RandomForest,Baseline | L0' + time,1,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5820664994503211,0.5822053010113204,0.7510381927361747,RandomForest,Baseline | L0' + time,2,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5774201134754184,0.5863107482574438,0.7552014961059489,RandomForest,Baseline | L0' + time,3,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5766128038041025,0.5887770896368841,0.7559225320334353,RandomForest,Baseline | L0' + time,4,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5525578497634898,0.6043642835612829,0.7770999432957336,Ridge,Baseline | L0' + time,0,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5525578497634898,0.6043642835612829,0.7770999432957336,Ridge,Baseline | L0' + time,1,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5525578497634898,0.6043642835612829,0.7770999432957336,Ridge,Baseline | L0' + time,2,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5525578497634898,0.6043642835612829,0.7770999432957336,Ridge,Baseline | L0' + time,3,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5525578497634898,0.6043642835612829,0.7770999432957336,Ridge,Baseline | L0' + time,4,1659,423,75,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.22349017658542503,0.5005467230577656,0.6844537671291708,RandomForest,Baseline | L0' + time | cold_start_2024,0,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.21368978927922178,0.5072186339612317,0.688759494543772,RandomForest,Baseline | L0' + time | cold_start_2024,1,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.213108335294246,0.5114433239597722,0.6890141064885539,RandomForest,Baseline | L0' + time | cold_start_2024,2,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.22980930286220214,0.507062259979928,0.6816630843813901,RandomForest,Baseline | L0' + time | cold_start_2024,3,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.2134349797259607,0.5110270177409474,0.688871084270577,RandomForest,Baseline | L0' + time | cold_start_2024,4,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.18661127421013957,0.5104048493726159,0.7005186712486475,Ridge,Baseline | L0' + time | cold_start_2024,0,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.18661127421013957,0.5104048493726159,0.7005186712486475,Ridge,Baseline | L0' + time | cold_start_2024,1,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.18661127421013957,0.5104048493726159,0.7005186712486475,Ridge,Baseline | L0' + time | cold_start_2024,2,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.18661127421013957,0.5104048493726159,0.7005186712486475,Ridge,Baseline | L0' + time | cold_start_2024,3,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.18661127421013957,0.5104048493726159,0.7005186712486475,Ridge,Baseline | L0' + time | cold_start_2024,4,1659,64,75,604,64,0.0,0.15130023640661938,64,64,none
0.5783131798689491,0.5832758713173583,0.7544030650724765,RandomForest,Baseline | L0' only,0,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5799611243928948,0.5819022395540671,0.7529275252469768,RandomForest,Baseline | L0' only,1,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5802997920966655,0.5832231980492867,0.7526239299487553,RandomForest,Baseline | L0' only,2,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5798237539603472,0.5850863682787903,0.7530506347145963,RandomForest,Baseline | L0' only,3,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5798842837268137,0.5839743459252257,0.7529963912617391,RandomForest,Baseline | L0' only,4,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline | L0' only,0,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline | L0' only,1,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline | L0' only,2,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline | L0' only,3,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline | L0' only,4,1659,423,73,604,423,0.8486997635933806,0.15130023640661938,64,64,none
0.20435235209428404,0.5027146179195181,0.6928369363608293,RandomForest,Baseline | L0' only | cold_start_2024,0,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.20113295157609756,0.505505280097273,0.6942372219227118,RandomForest,Baseline | L0' only | cold_start_2024,1,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.22100011766359584,0.5049622956215449,0.6855503186548899,RandomForest,Baseline | L0' only | cold_start_2024,2,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.21185706603415866,0.5132233237931298,0.6895617039216175,RandomForest,Baseline | L0' only | cold_start_2024,3,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.19897320850271438,0.50947199207413,0.6951750262855231,RandomForest,Baseline | L0' only | cold_start_2024,4,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline | L0' only | cold_start_2024,0,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline | L0' only | cold_start_2024,1,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline | L0' only | cold_start_2024,2,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline | L0' only | cold_start_2024,3,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline | L0' only | cold_start_2024,4,1659,64,73,604,64,0.0,0.15130023640661938,64,64,none
0.5187497065340148,0.5925520172330405,0.8059237127832323,RandomForest,GNN_V0 | L0' + emb,0,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5204837378619542,0.5910017818443699,0.8044704585035398,RandomForest,GNN_V0 | L0' + emb,1,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5188456032410017,0.5920049656606059,0.8058434122809193,RandomForest,GNN_V0 | L0' + emb,2,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5180894254334358,0.5936692494230545,0.8064763917156887,RandomForest,GNN_V0 | L0' + emb,3,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.520380488205592,0.5903187591552526,0.8045570633115875,RandomForest,GNN_V0 | L0' + emb,4,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 | L0' + emb,0,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 | L0' + emb,1,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 | L0' + emb,2,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 | L0' + emb,3,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5081494358024761,0.5988647310002975,0.8147512164078958,Ridge,GNN_V0 | L0' + emb,4,1659,423,137,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5189720512006535,0.5925239877851183,0.805737517009538,RandomForest,GNN_V0 | L0' + emb + time,0,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5179367454528336,0.593318803001678,0.8066041364209142,RandomForest,GNN_V0 | L0' + emb + time,1,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5189580483956556,0.5930530818151928,0.8057492445019321,RandomForest,GNN_V0 | L0' + emb + time,2,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5186271503383728,0.5917821883873439,0.8060263253510112,RandomForest,GNN_V0 | L0' + emb + time,3,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.5202149471619519,0.5923013816635558,0.8046958980777082,RandomForest,GNN_V0 | L0' + emb + time,4,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.507900206800652,0.5991676500315593,0.8149576143773775,Ridge,GNN_V0 | L0' + emb + time,0,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.507900206800652,0.5991676500315593,0.8149576143773775,Ridge,GNN_V0 | L0' + emb + time,1,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.507900206800652,0.5991676500315593,0.8149576143773775,Ridge,GNN_V0 | L0' + emb + time,2,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
0.507900206800652,0.5991676500315593,0.8149576143773775,Ridge,GNN_V0 | L0' + emb + time,3,1659,423,139,604,423,0.8486997635933806,0.15130023640661938,64,64,gnn_v0_sage_player_embeddings.csv
