setting,model,R2,RMSE,MAE,n_test,test_players,overlap_ratio_test,cold_start_ratio,p,emb_source
Baseline | L0' + time,RandomForest,0.5793 ± 0.0023,0.7535 ± 0.0021,0.5853 ± 0.0026,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,75,none
Baseline | L0' + time,Ridge,0.5526 ± 0.0000,0.7771 ± 0.0000,0.6044 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,75,none
Baseline | L0' + time | cold_start_2024,RandomForest,0.2187 ± 0.0076,0.6866 ± 0.0033,0.5075 ± 0.0044,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,75,none
Baseline | L0' + time | cold_start_2024,Ridge,0.1866 ± 0.0000,0.7005 ± 0.0000,0.5104 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,75,none
Baseline | L0' only,RandomForest,0.5797 ± 0.0008,0.7532 ± 0.0007,0.5835 ± 0.0012,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,73,none
Baseline | L0' only,Ridge,0.5527 ± 0.0000,0.7770 ± 0.0000,0.6062 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,73,none
Baseline | L0' only | cold_start_2024,RandomForest,0.2075 ± 0.0090,0.6915 ± 0.0039,0.5072 ± 0.0042,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,73,none
Baseline | L0' only | cold_start_2024,Ridge,0.1861 ± 0.0000,0.7007 ± 0.0000,0.5070 ± 0.0000,"64.0 (min=64, max=64)","64.0 (min=64, max=64)",0.0000 ± 0.0000,0.1513 ± 0.0000,73,none
GNN_V0 | L0' + emb,RandomForest,0.5193 ± 0.0011,0.8055 ± 0.0009,0.5919 ± 0.0013,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,137,gnn_v0_sage_player_embeddings.csv
GNN_V0 | L0' + emb,Ridge,0.5081 ± 0.0000,0.8148 ± 0.0000,0.5989 ± 0.0000,"423.0 (min=423, max=423)","423.0 (min=423, max=423)",0.8487 ± 0.0000,0.1513 ± 0.0000,137,gnn_v0_sage_player_embeddings.csv
