epoch,train_loss,val_rmse,val_r2
10,119.21271515,9.87752221,-76.86792231
20,8.25562382,1.15213854,-0.05942932
30,16.42724228,5.39316064,-22.21396631
40,5.90603876,1.02723438,0.15782623
50,4.92318201,1.89535165,-1.86709550
60,4.90366602,2.62748836,-4.50990564
70,4.41196156,1.68798433,-1.27404679
80,4.29652882,2.13778665,-2.64746665
90,4.22483253,2.16055741,-2.72558294
100,4.01692104,2.15861735,-2.71889495
110,3.90686345,2.33740596,-3.36044591
120,3.98659563,2.41974571,-3.67306751
130,3.71879196,2.49482411,-3.96755233
140,3.84974289,2.61215227,-4.44577406
150,3.68568969,2.65492161,-4.62556274
160,3.62479901,2.78683152,-5.19846309
170,3.29904437,2.81930651,-5.34376647
180,3.32815742,2.94253822,-5.91045767
190,3.25557470,3.04096952,-6.38051651
200,3.12579584,3.00381450,-6.20126592
