epoch,train_loss,val_rmse,val_r2
10,174.24273682,15.07245076,-180.31357073
20,82.44915009,14.12240712,-158.17690385
30,10.07482624,12.64378968,-126.59012831
40,13.40303230,12.27205619,-119.19800275
50,6.73599768,12.74536228,-128.64834656
60,5.97223282,12.63851719,-126.48376526
70,5.65792465,12.46503961,-123.00807091
80,5.48334408,12.53960583,-124.49615229
90,5.30709934,12.55596663,-124.82382814
100,4.85949898,12.49253134,-123.55566386
110,4.54408884,12.48849629,-123.47522026
120,4.58150005,12.48522564,-123.41003099
130,4.67281580,12.46143220,-122.93628989
140,4.49296665,12.45117356,-122.73232498
150,4.53229427,12.42421239,-122.19705078
160,4.13554478,12.42255857,-122.16425134
170,4.18987036,12.38181433,-121.35766111
180,4.03953505,12.37657263,-121.25408192
190,4.15117455,12.35976327,-120.92222648
200,4.00537586,12.33847358,-120.50256957
