epoch,train_loss,val_rmse,val_r2
10,119.21669769,9.87695679,-76.85902459
20,8.25309753,1.15194856,-0.05907991
30,16.42661285,5.39423937,-22.22325089
40,5.91550684,1.02629895,0.15935932
50,4.91853666,1.89954561,-1.87979827
60,4.90191412,2.62654350,-4.50594414
70,4.41168642,1.68795361,-1.27396430
80,4.29523230,2.14060272,-2.65708191
90,4.22416115,2.16109817,-2.72744801
100,4.01558590,2.16081186,-2.72646024
110,3.90575242,2.33879063,-3.36561349
120,3.98500419,2.42117683,-3.67859730
130,3.71814394,2.49564421,-3.97081881
140,3.84880066,2.61303308,-4.44944636
150,3.68556476,2.65712015,-4.63488383
160,3.62385988,2.78963569,-5.21094399
170,3.29928589,2.82227306,-5.35712396
180,3.32636786,2.94715658,-5.93216720
190,3.25526381,3.04556606,-6.40284568
200,3.12439561,3.01006679,-6.23127534
